DEPTH,Rt,PHIT
596.5,1026.533198,0.021774356
597,1238.770768,0.030888673
597.5,867.7109938,0.01665168
598.5,1326.643527,0.014930016
599,631.0444648,0.005456656
603.5,12.73329577,0.22713677
604,21.81699508,0.079719633
604.5,86.11196978,0.012374308
605,137.4268793,0.002912171
605.5,63.46673872,0.006719951
606,47.64730722,0.012407104
606.5,70.94374228,0.003568468
607,84.2592685,0.053529833
607.5,96.54519548,0.062762472
608,119.9655153,0.046724973
608.5,41.97457,0.062844619
609,17.03714056,0.025427081
609.5,18.00024037,0.022987916
610,28.05968046,0.06622082
610.5,34.86465682,0.06502165
611,50.55675568,0.056858919
611.5,37.75144382,0.056680814
612,24.6279051,0.073929708
612.5,52.70581702,0.013380796
613,201.538232,0.005996856
613.5,63.14012806,0.02023966
614,48.62642332,0.058605399
614.5,43.5280955,0.059111862
615,66.86215162,0.063367565
615.5,85.28446728,0.062062639
616,76.31121084,0.013404352
616.5,49.47299064,0.063301037
617,8.325691344,0.085786068
617.5,3.19882537,0.165763704
618,3.193882156,0.190866228
618.5,3.699620618,0.180590953
619,3.18395697,0.178412679
619.5,3.34801606,0.190311421
620,3.744497986,0.18936186
620.5,3.789,0.182285671
621,4.32393735,0.184143592
621.5,4.483840244,0.170495628
622,5.299269662,0.16707662
622.5,4.412058896,0.172279636
623,4.947120662,0.170066715
623.5,4.792876476,0.169872616
624,4.412945608,0.169785831
624.5,4.121951198,0.178524585
625,4.616511676,0.174318331
625.5,4.368894698,0.163970197
626,4.19674899,0.169165725
626.5,4.263935922,0.172077404
627,4.083846838,0.170878391
627.5,4.203700408,0.171196913
628,3.264578282,0.182387321
628.5,2.839938778,0.191811117
629,2.774914758,0.191488814
629.5,3.041453204,0.190717397
630,3.391725126,0.175526516
630.5,3.71156555,0.166439721
631,3.786105504,0.168611759
631.5,3.591675962,0.173904175
632,4.060101966,0.168627475
632.5,4.292918272,0.169930622
633,5.020674986,0.171532045
633.5,4.867308062,0.163338936
634,4.804462816,0.167511998
634.5,4.571220338,0.168417293
635,3.687497926,0.172677251
635.5,3.029482984,0.175560315
636,3.194642858,0.187248855
636.5,3.3066674,0.187278622
637,3.4688,0.185427869
637.5,3.23004006,0.189533734
638,4.05583397,0.186111918
638.5,4.685437496,0.184129335
639,4.640109968,0.188156806
639.5,4.096676454,0.180562862
640,4.055298638,0.176815823
640.5,4.1306,0.17727115
641,4.1304,0.17422937
641.5,4.047264492,0.176492713
642,3.920722268,0.183278769
642.5,4.100748926,0.187967933
643,4.61049968,0.180301327
643.5,4.704874744,0.176491014
644,4.657913928,0.165812031
644.5,4.187572572,0.183874236
645,4.737066666,0.187136793
645.5,5.2132,0.177373737
646,5.39766011,0.178438487
646.5,5.660313402,0.171978306
647,6.167908842,0.167692326
647.5,5.167036364,0.162918454
648,4.174188716,0.176231443
648.5,4.176178764,0.179425607
649,4.2508,0.17533285
649.5,3.004353586,0.200279117
650,2.059955404,0.20651092
650.5,1.415852476,0.23120945
651,1.36131525,0.245594499
651.5,1.799196814,0.232867025
652,2.659217194,0.212281968
652.5,4.263677416,0.17493904
653,5.623104072,0.143193793
653.5,5.6046,0.171087686
654,4.823152136,0.17754918
654.5,6.864023318,0.142839882
655,14.52718319,0.103325465
655.5,15.4550679,0.120232819
